,support,itemsets
70,0.2860464555254314,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
71,0.2860464555254314,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'TAMANHO_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
72,0.2860464555254314,"frozenset({'VELOCIDADE AFERIDA_bin_0.0', 'ACIMA VELOCIDADE PERMITIDA_False', 'FAIXA_bin_1.0', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0', 'CLASSIFICAÇÃO_AUTOMÓVEL'})"
73,0.23147596593682093,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
74,0.23146854314774504,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0'})"
75,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0'})"
76,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto'})"
77,0.1989864181516884,"frozenset({'CLASSIFICAÇÃO_AUTOMÓVEL', 'SENTIDO_Centro/Barro Preto'})"
78,0.11311402703008643,"frozenset({'SENTIDO_Centro/Barro Preto', 'FAIXA_bin_2.0'})"
79,0.23146854314774504,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
80,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0'})"
81,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
82,0.23143142920236565,"frozenset({'SENTIDO_Centro/Barro Preto', 'TAMANHO_bin_0.0', 'VELOCIDADE AFERIDA_bin_0.0', 'VELOCIDADE DA VIA_bin_0.0'})"
83,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
84,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
85,0.21875887255256726,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'VELOCIDADE AFERIDA_bin_0.0', 'SENTIDO_Centro/Barro Preto'})"
86,0.21877742952525697,"frozenset({'ACIMA VELOCIDADE PERMITIDA_False', 'TAMANHO_bin_0.0', 'SENTIDO_Centro/Barro Preto', 'VELOCIDADE DA VIA_bin_0.0'})"
