Pattern,#SUP:,#CONF:
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_MÉDIO_41-60",2421.0,0.9365570599613153
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2426.0,0.9384912959381044
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_328_AUTOMÓVEL_MÉDIO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2428.0,0.9392649903288202
2_328_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2443.0,0.9374520337682272
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2460.0,0.9516441005802708
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2424.0,0.9377176015473888
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2437.0,0.9427466150870406
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_MÉDIO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2425.0,0.9381044487427466
2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2456.0,0.9219219219219219
"2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_328_AUTOMÓVEL_MÉDIO_41-60",2426.0,0.9106606606606606
"2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2420.0,0.9084084084084084
"2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2422.0,0.9091591591591591
"2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_PEQUENO_41-60",2432.0,0.9129129129129129
"2_349_AUTOMÓVEL_MÉDIO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2418.0,0.9076576576576577
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,2466.0,0.9539651837524178
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2432.0,0.9408123791102514
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2433.0,0.9411992263056093
"1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_349_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2418.0,0.9353965183752417
2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2454.0,0.9204801200300075
"2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_328_AUTOMÓVEL_MÉDIO_41-60",2424.0,0.9092273068267067
"2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,4_349_AUTOMÓVEL_MÉDIO_41-60",2419.0,0.9073518379594899
"2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_350_AUTOMÓVEL_MÉDIO_41-60",2426.0,0.9099774943735934
"2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,2_349_AUTOMÓVEL_MÉDIO_41-60",2420.0,0.9077269317329333
"2_349_AUTOMÓVEL_PEQUENO_41-60 ==> 1_328_AUTOMÓVEL_PEQUENO_41-60,3_349_AUTOMÓVEL_MÉDIO_41-60",2416.0,0.9062265566391597
1_328_AUTOMÓVEL_PEQUENO_41-60 ==> 2_350_AUTOMÓVEL_MÉDIO_41-60,2466.0,0.9539651837524178
